,date,temperature,weather,real_feel,wind_direct,real_wind_speed,humidity,dew_point,cloudiness,water_chance,visibility,timestamp
0,2017-05-27 12:00,30°,晴,34.1°,9.3km/h 东,13.0km/h,42%,15.7°,1%,0%,16.1 km,1495944000.0
1,2017-05-27 13:00,32°,晴,35.8°,9.3km/h 东南,13.0km/h,38%,16.0°,3%,0%,16.1 km,1495947600.0
2,2017-05-27 14:00,33°,晴,36.5°,9.3km/h 南,13.0km/h,36%,16.2°,4%,0%,16.1 km,1495951200.0
3,2017-05-27 15:00,34°,晴,35.9°,11.1km/h 南,13.0km/h,32%,15.2°,7%,0%,16.1 km,1495954800.0
4,2017-05-27 16:00,35°,晴,35.5°,11.1km/h 西南偏南,14.8km/h,29%,14.7°,9%,0%,16.1 km,1495958400.0
5,2017-05-27 17:00,35°,晴间多云,34.2°,13.0km/h 西南偏南,16.7km/h,32%,15.8°,11%,0%,16.1 km,1495962000.0
6,2017-05-27 18:00,33°,晴,32.4°,11.1km/h 西南偏南,16.7km/h,36%,16.3°,8%,0%,16.1 km,1495965600.0
7,2017-05-27 19:00,32°,晴,30.5°,11.1km/h 西南偏南,14.8km/h,42%,17.1°,5%,0%,16.1 km,1495969200.0
8,2017-05-27 20:00,29°,晴,28.6°,9.3km/h 南,14.8km/h,51%,17.9°,2%,0%,16.1 km,1495972800.0
9,2017-05-27 21:00,27°,晴,26.2°,9.3km/h 西南偏南,13.0km/h,59%,17.9°,1%,0%,16.1 km,1495976400.0
10,2017-05-27 22:00,26°,晴,25.3°,7.4km/h 西南偏南,11.1km/h,57%,17.0°,1%,0%,16.1 km,1495980000.0
11,2017-05-27 23:00,25°,晴,24.1°,7.4km/h 西南,9.3km/h,55%,15.5°,0%,0%,16.1 km,1495983600.0
12,2017-05-28 00:00,24°,晴,22.9°,7.4km/h 西南,9.3km/h,52%,13.7°,0%,0%,16.1 km,1495900800.0
13,2017-05-28 01:00,23°,晴,21.6°,7.4km/h 西南偏南,9.3km/h,52%,12.4°,0%,0%,16.1 km,1495904400.0
14,2017-05-28 02:00,22°,晴,20.6°,7.4km/h 西南偏南,11.1km/h,54%,12.1°,0%,0%,16.1 km,1495908000.0
15,2017-05-28 03:00,21°,晴,19.7°,7.4km/h 西南偏南,11.1km/h,60%,13.1°,1%,0%,16.1 km,1495911600.0
16,2017-05-28 04:00,20°,晴,18.6°,7.4km/h 西南偏南,11.1km/h,69%,14.0°,2%,0%,16.1 km,1495915200.0
17,2017-05-28 05:00,18°,晴,17.7°,7.4km/h 西南偏南,11.1km/h,76%,13.7°,2%,0%,16.1 km,1495918800.0
18,2017-05-28 06:00,19°,晴,18.7°,7.4km/h 西南偏南,11.1km/h,77%,15.2°,5%,0%,16.1 km,1495922400.0
19,2017-05-28 07:00,21°,晴,22.1°,7.4km/h 西南偏南,9.3km/h,69%,15.5°,7%,0%,16.1 km,1495926000.0
20,2017-05-28 08:00,24°,晴,26.4°,5.6km/h 南,9.3km/h,56%,15.1°,9%,0%,16.1 km,1495929600.0
21,2017-05-28 09:00,27°,晴,29.6°,9.3km/h 东,13.0km/h,47%,14.8°,7%,0%,16.1 km,1495933200.0
22,2017-05-28 10:00,30°,晴,31.7°,13.0km/h 东北偏东,18.5km/h,40%,14.8°,5%,0%,16.1 km,1495936800.0
